timestamp,80° or below,81° to 82°,83° to 84°,85° to 86°,87° to 88°,89° or above
2026-04-28T14:01:00Z,,,,,60.00,
2026-04-28T14:02:00Z,,,,,58.00,
2026-04-28T14:03:00Z,,,4.19,,39.00,10.00
2026-04-28T14:04:00Z,,,4.19,20.10,45.00,10.00
2026-04-28T14:06:00Z,3.34,2.00,4.00,17.00,45.00,38.50
2026-04-28T14:07:00Z,3.34,2.00,4.00,45.00,40.02,38.50
2026-04-28T14:08:00Z,3.34,2.00,4.00,14.65,40.02,33.00
2026-04-28T14:09:00Z,3.34,2.00,4.00,13.71,46.00,34.00
2026-04-28T14:10:00Z,3.34,2.00,5.00,13.00,47.00,33.00
2026-04-28T14:11:00Z,3.34,2.00,4.00,8.00,47.00,33.00
2026-04-28T14:12:00Z,3.34,2.00,4.00,8.00,47.00,33.00
2026-04-28T14:13:00Z,3.00,3.00,4.00,13.00,47.00,33.00
2026-04-28T14:14:00Z,3.00,3.00,4.00,13.00,48.00,34.00
2026-04-28T14:16:00Z,3.00,3.00,3.50,13.86,48.00,32.00
2026-04-28T14:18:00Z,3.00,3.00,3.50,13.86,48.00,32.00
2026-04-28T14:19:00Z,3.00,3.00,3.50,13.86,48.00,32.00
2026-04-28T14:21:00Z,3.00,3.00,3.50,13.86,48.00,31.00
2026-04-28T14:22:00Z,3.00,3.00,3.50,13.86,48.00,33.00
2026-04-28T14:23:00Z,1.18,3.00,3.00,13.86,48.00,33.00
2026-04-28T14:24:00Z,1.18,3.00,3.00,13.86,48.00,29.00
2026-04-28T14:25:00Z,1.18,3.00,4.00,13.00,48.00,28.00
2026-04-28T14:26:00Z,2.00,3.00,4.00,13.00,48.00,28.00
2026-04-28T14:31:00Z,2.00,3.00,4.00,13.27,48.00,28.00
2026-04-28T14:32:00Z,2.00,3.00,4.00,15.00,52.00,28.00
2026-04-28T14:33:00Z,2.00,3.00,4.00,15.00,48.14,30.68
2026-04-28T14:34:00Z,2.00,3.00,4.00,15.00,48.00,32.00
2026-04-28T14:36:00Z,2.00,3.00,4.00,14.00,48.00,31.00
2026-04-28T14:37:00Z,2.00,3.00,4.00,16.00,48.00,31.00
2026-04-28T14:39:00Z,2.00,3.00,4.00,16.00,48.00,31.00
2026-04-28T14:41:00Z,2.00,3.00,4.00,16.00,49.00,29.00
2026-04-28T14:46:00Z,2.00,3.00,4.00,16.00,49.00,29.00
2026-04-28T14:47:00Z,2.00,3.00,4.00,16.00,49.00,28.00
2026-04-28T14:48:00Z,2.00,3.00,4.00,16.00,49.00,28.00
2026-04-28T14:49:00Z,2.00,2.00,4.00,16.00,50.00,28.00
2026-04-28T14:50:00Z,2.00,2.00,4.00,16.00,50.00,28.00
2026-04-28T14:52:00Z,2.00,2.00,4.00,16.00,50.00,28.00
2026-04-28T14:54:00Z,2.00,2.00,4.00,16.00,50.00,28.00
2026-04-28T14:56:00Z,2.00,2.00,4.00,15.00,50.00,28.00
2026-04-28T14:57:00Z,2.00,2.00,4.00,15.00,52.00,28.00
2026-04-28T15:01:00Z,2.00,1.99,4.00,15.00,52.00,27.00
2026-04-28T15:02:00Z,2.00,2.00,4.00,15.00,52.00,27.00
2026-04-28T15:04:00Z,2.00,2.00,4.00,15.00,52.00,27.00
2026-04-28T15:06:00Z,1.00,2.00,4.00,15.00,52.00,27.00
2026-04-28T15:08:00Z,1.00,2.00,4.00,15.00,52.00,27.00
2026-04-28T15:16:00Z,1.00,2.00,4.00,16.00,52.00,27.00
2026-04-28T15:17:00Z,1.00,2.00,3.00,16.00,52.00,27.00
2026-04-28T15:19:00Z,1.00,2.00,3.00,16.00,53.00,27.00
2026-04-28T15:24:00Z,1.00,2.00,3.00,16.00,53.00,27.00
2026-04-28T15:26:00Z,1.00,2.00,3.00,16.00,53.00,28.00
2026-04-28T15:36:00Z,1.00,2.00,3.00,16.00,53.00,28.00
2026-04-28T15:38:00Z,1.00,2.00,3.00,16.00,53.00,28.00
2026-04-28T15:41:00Z,1.00,2.00,2.00,17.00,53.00,28.00
2026-04-28T15:42:00Z,1.00,2.00,2.00,17.00,53.00,28.00
2026-04-28T15:43:00Z,1.00,1.00,2.00,17.00,53.00,28.00
2026-04-28T15:46:00Z,1.00,1.00,2.00,17.00,54.00,28.00
2026-04-28T15:50:00Z,1.00,1.00,2.00,18.00,54.00,28.00
2026-04-28T15:54:00Z,1.00,1.00,2.00,20.00,55.00,27.00
2026-04-28T15:56:00Z,1.00,1.00,2.00,18.00,55.00,25.00
2026-04-28T15:57:00Z,1.00,1.00,2.00,18.00,55.00,25.00
2026-04-28T16:01:00Z,1.00,1.00,3.00,20.81,55.00,25.00
2026-04-28T16:03:00Z,1.00,1.00,3.00,20.81,55.00,25.00
2026-04-28T16:04:00Z,1.00,1.00,3.00,20.81,54.50,25.00
2026-04-28T16:16:00Z,1.00,1.00,3.00,21.00,54.50,24.00
2026-04-28T16:21:00Z,1.00,1.00,3.00,21.00,54.50,20.00
2026-04-28T16:23:00Z,1.00,1.00,3.00,21.00,54.98,19.84
2026-04-28T16:26:00Z,1.00,1.00,3.00,21.00,54.98,18.00
2026-04-28T16:27:00Z,1.00,1.00,3.00,21.00,54.98,18.00
2026-04-28T16:32:00Z,1.00,1.00,3.00,21.00,57.00,18.00
2026-04-28T16:34:00Z,1.00,1.00,3.00,21.00,57.00,18.00
2026-04-28T16:43:00Z,1.00,1.00,3.00,23.00,55.00,18.00
2026-04-28T16:46:00Z,1.00,1.00,3.00,23.00,55.00,18.00
2026-04-28T16:49:00Z,1.00,1.00,3.00,23.00,55.00,19.00
2026-04-28T16:55:00Z,1.00,1.00,3.00,23.00,55.00,18.00
2026-04-28T16:58:00Z,1.00,1.00,3.00,21.00,55.00,18.00
2026-04-28T17:01:00Z,1.00,2.00,4.00,21.00,55.00,18.00
