timestamp,83° or below,84° to 85°,86° to 87°,88° to 89°,90° to 91°,92° or above
2026-04-30T14:02:00Z,,,,,37.00,
2026-04-30T14:03:00Z,4.00,,,29.00,43.00,
2026-04-30T14:04:00Z,4.00,,,29.00,43.00,
2026-04-30T14:05:00Z,4.00,,,29.00,43.00,16.57
2026-04-30T14:06:00Z,1.20,2.00,3.00,18.05,43.00,15.88
2026-04-30T14:07:00Z,1.20,2.00,3.00,18.05,43.00,17.00
2026-04-30T14:08:00Z,1.20,2.33,5.39,16.05,44.59,32.38
2026-04-30T14:09:00Z,1.20,2.33,7.00,16.05,45.55,35.75
2026-04-30T14:10:00Z,1.20,2.33,7.00,17.42,44.00,33.00
2026-04-30T14:11:00Z,1.20,2.33,7.00,18.00,46.41,34.00
2026-04-30T14:12:00Z,1.20,2.33,7.00,18.00,45.00,34.00
2026-04-30T14:13:00Z,1.20,2.33,5.00,18.00,45.00,35.71
2026-04-30T14:15:00Z,1.20,2.33,5.00,18.00,45.00,34.00
2026-04-30T14:16:00Z,1.00,2.33,5.00,18.00,45.00,34.00
2026-04-30T14:17:00Z,1.00,2.33,5.00,18.00,45.00,30.00
2026-04-30T14:19:00Z,1.00,2.33,5.00,18.00,45.00,31.00
2026-04-30T14:26:00Z,1.00,2.33,5.00,18.00,49.00,29.00
2026-04-30T14:32:00Z,1.00,2.33,5.00,18.00,49.00,29.00
2026-04-30T14:34:00Z,1.00,2.33,5.00,18.00,49.00,27.00
2026-04-30T14:35:00Z,1.00,2.33,5.00,18.00,49.00,25.00
2026-04-30T14:41:00Z,1.00,2.33,5.00,18.00,52.00,25.00
2026-04-30T14:43:00Z,1.00,2.33,5.00,18.00,52.00,25.00
2026-04-30T14:48:00Z,1.00,2.33,5.00,18.00,53.00,25.00
2026-04-30T14:49:00Z,1.00,2.33,5.00,18.00,51.25,25.00
2026-04-30T14:51:00Z,1.00,2.00,5.00,18.00,51.25,25.00
2026-04-30T14:52:00Z,1.00,8.31,13.11,16.00,51.25,24.00
2026-04-30T14:55:00Z,1.00,11.00,5.00,16.00,46.00,21.00
2026-04-30T14:56:00Z,1.00,11.00,5.00,16.00,47.00,21.00
2026-04-30T14:58:00Z,1.00,11.00,5.00,14.22,47.00,20.00
2026-04-30T14:59:00Z,1.00,11.00,5.00,14.22,47.00,20.00
2026-04-30T15:00:00Z,1.00,13.00,23.00,14.22,47.00,20.00
2026-04-30T15:04:00Z,1.00,13.00,23.00,17.00,47.00,20.00
2026-04-30T15:05:00Z,1.00,13.00,23.00,17.00,47.00,20.00
2026-04-30T15:06:00Z,1.00,13.00,23.00,17.00,47.00,20.00
2026-04-30T15:08:00Z,1.00,13.00,23.00,28.00,47.00,20.00
2026-04-30T15:09:00Z,1.00,13.00,23.00,28.00,47.00,20.00
2026-04-30T15:10:00Z,1.00,3.00,23.00,28.00,47.00,20.00
2026-04-30T15:11:00Z,1.00,3.00,23.00,28.00,47.00,20.00
2026-04-30T15:12:00Z,1.00,3.00,23.00,29.00,47.00,20.00
2026-04-30T15:16:00Z,1.00,3.00,23.00,30.00,47.00,20.00
2026-04-30T15:19:00Z,1.00,3.00,23.00,29.00,47.00,20.00
2026-04-30T15:21:00Z,1.00,3.00,23.00,29.00,47.00,20.00
2026-04-30T15:22:00Z,1.00,3.00,23.00,29.00,47.00,20.00
2026-04-30T15:23:00Z,1.00,3.00,23.00,30.25,47.00,20.00
2026-04-30T15:24:00Z,1.00,3.00,23.00,30.25,47.00,20.00
2026-04-30T15:26:00Z,1.00,3.00,23.00,30.25,47.00,20.00
2026-04-30T15:27:00Z,1.00,3.00,23.00,30.00,47.00,20.00
2026-04-30T15:30:00Z,1.00,3.00,23.00,30.00,47.00,19.00
2026-04-30T15:31:00Z,1.00,3.00,23.00,30.00,47.00,18.00
2026-04-30T15:32:00Z,1.00,3.00,23.00,30.00,47.00,18.00
2026-04-30T15:33:00Z,1.00,3.00,23.00,31.00,47.00,18.00
2026-04-30T15:36:00Z,1.00,3.00,23.00,31.00,46.00,18.00
2026-04-30T15:39:00Z,1.00,3.00,23.00,31.00,46.00,18.00
2026-04-30T15:40:00Z,1.00,3.00,23.00,31.00,46.00,18.00
2026-04-30T15:41:00Z,1.00,3.00,23.00,23.00,46.00,18.00
2026-04-30T15:44:00Z,1.00,3.00,23.00,31.00,46.00,18.00
2026-04-30T15:45:00Z,1.00,3.00,6.00,31.00,46.00,18.00
2026-04-30T15:47:00Z,1.00,3.00,7.00,25.15,46.00,18.00
2026-04-30T15:51:00Z,1.00,3.00,7.00,29.15,46.00,18.00
2026-04-30T15:53:00Z,1.00,3.00,13.19,29.15,46.00,18.00
2026-04-30T15:55:00Z,1.00,3.00,13.19,32.00,46.00,18.00
2026-04-30T16:00:00Z,1.00,3.00,13.19,32.00,44.00,18.00
2026-04-30T16:01:00Z,1.00,4.00,13.19,32.00,44.00,18.50
2026-04-30T16:03:00Z,1.00,4.00,13.19,29.00,44.00,18.50
2026-04-30T16:06:00Z,1.00,4.00,13.19,29.00,42.00,18.50
2026-04-30T16:08:00Z,1.00,4.00,13.19,32.91,42.00,18.50
2026-04-30T16:09:00Z,1.00,4.00,13.19,32.91,42.00,18.50
2026-04-30T16:10:00Z,1.00,4.00,13.19,32.91,43.00,18.50
2026-04-30T16:13:00Z,1.00,4.00,13.19,32.91,43.00,15.00
2026-04-30T16:15:00Z,1.00,4.00,13.19,32.00,43.00,15.00
2026-04-30T16:16:00Z,1.00,4.00,11.00,32.00,43.00,15.00
2026-04-30T16:18:00Z,1.00,4.00,11.00,31.00,43.00,15.00
2026-04-30T16:31:00Z,1.00,4.00,11.00,31.00,43.00,15.00
2026-04-30T16:41:00Z,1.00,4.00,8.00,31.00,43.00,15.00
2026-04-30T16:44:00Z,1.00,4.00,13.92,31.00,43.00,15.00
2026-04-30T16:46:00Z,1.00,4.00,13.92,31.00,43.00,15.00
2026-04-30T16:56:00Z,1.00,4.00,13.92,31.00,43.00,15.00
2026-04-30T16:57:00Z,1.00,4.00,13.92,31.00,42.00,15.00
2026-04-30T17:01:00Z,1.00,4.00,13.92,31.00,42.00,15.00
2026-04-30T17:09:00Z,1.00,4.00,13.92,31.00,42.00,15.00
2026-04-30T17:12:00Z,1.00,4.00,13.92,31.00,42.00,15.00
2026-04-30T17:17:00Z,1.00,4.00,13.92,31.00,42.00,15.00
2026-04-30T17:25:00Z,1.00,4.00,17.70,32.00,42.00,15.00
2026-04-30T17:26:00Z,1.00,4.00,17.70,31.00,43.00,15.00
2026-04-30T17:34:00Z,1.00,4.00,17.70,29.00,43.00,15.00
2026-04-30T17:38:00Z,1.00,4.00,17.70,29.00,43.00,15.00
2026-04-30T17:43:00Z,1.00,4.00,16.49,29.00,43.00,15.00
2026-04-30T17:44:00Z,1.00,4.00,16.49,29.00,42.00,15.00
2026-04-30T17:45:00Z,1.00,4.00,16.49,29.00,42.00,15.00
2026-04-30T17:55:00Z,1.00,4.00,16.49,31.12,42.00,15.00
2026-04-30T18:00:00Z,1.00,4.00,14.38,31.12,42.00,15.00
2026-04-30T18:01:00Z,1.00,4.00,14.38,32.00,42.58,15.00
2026-04-30T18:02:00Z,1.00,4.00,14.38,32.00,42.58,13.33
2026-04-30T18:04:00Z,1.00,4.00,14.38,32.00,42.58,8.47
2026-04-30T18:05:00Z,1.00,4.00,14.38,31.00,42.58,8.47
2026-04-30T18:27:00Z,1.00,4.00,14.38,31.00,42.58,8.47
2026-04-30T18:30:00Z,1.00,4.00,14.38,31.00,42.58,8.00
2026-04-30T18:37:00Z,1.00,4.00,14.38,29.00,42.58,8.00
2026-04-30T18:40:00Z,1.00,3.00,14.38,29.00,42.58,8.00
2026-04-30T18:45:00Z,1.00,3.00,14.38,30.00,42.58,8.00
2026-04-30T18:56:00Z,1.00,3.00,14.00,30.00,42.58,8.00
2026-04-30T19:01:00Z,1.00,3.00,14.00,30.00,42.58,8.00
2026-04-30T19:06:00Z,1.00,3.00,14.00,30.00,42.58,6.00
2026-04-30T19:08:00Z,1.00,3.00,14.00,30.00,45.54,6.00
2026-04-30T19:09:00Z,1.00,3.00,14.00,30.00,47.26,6.00
2026-04-30T19:10:00Z,1.00,3.00,14.00,30.00,46.00,6.00
2026-04-30T19:18:00Z,1.00,3.00,14.00,30.00,47.00,6.00
2026-04-30T19:19:00Z,1.00,3.00,14.00,30.11,47.00,6.00
2026-04-30T19:23:00Z,1.00,3.00,14.00,30.11,46.00,6.00
2026-04-30T19:24:00Z,1.00,3.00,14.00,30.11,45.00,6.00
2026-04-30T19:27:00Z,1.00,3.00,14.00,30.11,46.00,6.00
2026-04-30T19:31:00Z,1.00,3.00,14.00,29.00,45.00,6.00
2026-04-30T19:32:00Z,1.00,3.00,14.00,29.00,44.00,6.00
2026-04-30T19:34:00Z,1.00,3.00,14.00,37.11,44.00,6.00
2026-04-30T19:37:00Z,1.00,3.00,14.00,37.11,43.00,6.00
2026-04-30T19:38:00Z,1.00,3.00,14.00,37.11,43.00,7.00
2026-04-30T19:39:00Z,1.00,3.00,10.97,37.11,43.00,7.00
2026-04-30T19:40:00Z,1.00,3.00,11.00,37.11,43.00,7.00
2026-04-30T19:42:00Z,1.00,3.00,11.00,37.11,43.00,7.00
2026-04-30T19:43:00Z,1.00,4.00,11.00,37.11,43.00,7.00
2026-04-30T19:47:00Z,1.00,4.00,11.00,37.11,44.00,7.00
2026-04-30T19:49:00Z,1.00,4.00,11.00,37.11,48.86,7.00
2026-04-30T19:50:00Z,1.00,4.00,11.00,37.11,45.00,7.00
2026-04-30T19:51:00Z,1.00,4.00,11.00,37.11,45.00,7.00
2026-04-30T19:54:00Z,1.00,4.00,11.00,34.91,45.00,7.00
2026-04-30T19:57:00Z,1.00,4.00,11.00,34.91,43.19,7.00
2026-04-30T19:58:00Z,1.00,4.00,11.00,34.91,49.00,7.00
2026-04-30T20:00:00Z,1.00,4.00,11.00,36.00,49.00,7.00
2026-04-30T20:01:00Z,1.00,4.00,11.00,36.00,49.00,7.00
2026-04-30T20:03:00Z,1.00,3.00,10.73,36.00,49.00,8.00
2026-04-30T20:04:00Z,1.00,3.00,10.73,36.00,49.00,8.00
2026-04-30T20:07:00Z,1.00,3.00,10.73,36.00,48.36,8.00
2026-04-30T20:09:00Z,1.00,3.00,11.00,36.00,48.36,8.00
2026-04-30T20:11:00Z,1.00,3.00,11.00,42.53,48.36,8.00
2026-04-30T20:22:00Z,1.00,3.00,11.00,42.53,46.00,8.00
2026-04-30T20:26:00Z,1.00,3.00,11.00,35.00,46.00,8.00
2026-04-30T20:36:00Z,1.00,3.00,11.00,35.00,43.98,8.00
2026-04-30T20:39:00Z,1.00,3.00,11.00,35.00,44.00,8.00
2026-04-30T20:44:00Z,1.00,3.00,11.00,35.00,44.00,8.00
2026-04-30T20:47:00Z,1.00,3.00,11.00,36.00,44.00,8.00
2026-04-30T20:51:00Z,1.00,3.00,10.00,36.00,44.00,8.00
2026-04-30T20:59:00Z,1.00,3.00,10.00,36.00,47.99,8.00
2026-04-30T21:01:00Z,1.00,3.00,10.00,36.00,50.00,8.00
2026-04-30T21:03:00Z,1.00,3.00,10.00,36.00,51.00,8.00
2026-04-30T21:04:00Z,1.00,3.00,10.00,36.00,51.00,8.00
2026-04-30T21:05:00Z,1.00,3.00,10.00,36.00,51.00,8.00
2026-04-30T21:08:00Z,1.00,3.00,10.00,39.43,50.50,7.00
2026-04-30T21:09:00Z,1.00,3.00,10.00,39.43,50.00,7.00
2026-04-30T21:14:00Z,1.00,3.00,10.00,43.00,50.00,7.00
2026-04-30T21:24:00Z,1.00,3.00,10.00,38.00,50.00,7.00
2026-04-30T21:28:00Z,1.00,3.00,10.00,38.00,50.00,8.59
2026-04-30T21:34:00Z,1.00,3.00,10.00,37.00,50.00,8.59
2026-04-30T21:35:00Z,1.00,3.00,10.00,37.00,45.02,8.59
2026-04-30T21:37:00Z,1.00,3.00,10.00,39.99,45.02,8.59
2026-04-30T21:43:00Z,1.00,3.00,10.00,39.99,45.02,8.59
2026-04-30T21:44:00Z,1.00,4.00,10.00,39.99,45.02,8.59
2026-04-30T21:46:00Z,1.00,3.00,8.00,41.00,46.00,7.00
2026-04-30T21:47:00Z,1.00,3.00,8.00,42.50,46.00,7.00
2026-04-30T21:51:00Z,1.00,3.00,8.00,42.50,47.00,7.00
2026-04-30T21:55:00Z,1.00,3.00,8.00,45.80,47.00,7.00
2026-04-30T21:58:00Z,1.00,3.00,9.00,45.80,47.00,7.00
2026-04-30T22:05:00Z,1.00,3.00,9.00,45.80,47.00,7.00
2026-04-30T22:10:00Z,1.00,3.00,9.00,45.80,45.12,7.00
2026-04-30T22:12:00Z,1.00,3.00,9.00,45.80,45.12,7.00
2026-04-30T22:13:00Z,1.00,3.00,9.00,45.80,43.45,7.00
2026-04-30T22:16:00Z,1.00,3.00,9.00,45.80,43.00,7.00
2026-04-30T22:17:00Z,1.00,3.00,9.00,38.00,43.00,7.00
2026-04-30T22:18:00Z,1.00,3.00,9.00,38.00,43.00,7.00
2026-04-30T22:19:00Z,1.00,3.00,9.00,38.00,43.00,7.00
2026-04-30T22:23:00Z,1.00,3.00,10.00,38.00,43.00,7.00
2026-04-30T22:26:00Z,1.00,3.00,10.00,38.00,43.00,7.00
2026-04-30T22:29:00Z,1.00,3.00,10.00,38.00,43.00,7.00
