timestamp,78° or below,79° to 80°,81° to 82°,83° to 84°,85° to 86°,87° or above
2026-05-02T15:00:00Z,4.92,27.03,29.45,38.83,15.11,6.58
2026-05-02T16:00:00Z,4.92,27.03,31.12,31.00,14.00,7.00
2026-05-02T17:00:00Z,3.04,14.93,34.11,30.00,13.95,2.98
2026-05-02T18:00:00Z,2.91,13.83,30.59,29.81,11.53,4.32
2026-05-02T19:00:00Z,2.00,15.00,30.11,29.17,14.12,6.55
2026-05-02T20:00:00Z,2.85,15.00,31.94,27.90,14.64,7.75
2026-05-02T21:00:00Z,5.38,15.00,32.00,21.78,15.00,7.40
2026-05-02T22:00:00Z,4.35,15.63,34.17,28.54,15.05,6.11
2026-05-02T23:00:00Z,4.37,15.00,33.00,28.62,19.37,5.71
2026-05-03T00:00:00Z,3.06,12.06,32.86,42.78,18.48,5.24
2026-05-03T01:00:00Z,2.99,12.11,32.47,44.62,14.24,3.16
2026-05-03T02:00:00Z,2.85,15.89,27.04,44.75,16.94,2.82
2026-05-03T03:00:00Z,3.42,10.42,18.16,49.53,24.61,11.77
2026-05-03T04:00:00Z,3.01,5.21,19.03,43.44,25.04,6.34
2026-05-03T05:00:00Z,1.70,7.33,19.58,36.02,32.19,9.10
2026-05-03T06:00:00Z,1.00,5.00,18.86,36.09,32.07,10.68
2026-05-03T07:00:00Z,1.00,4.94,12.30,38.56,39.44,12.67
2026-05-03T08:00:00Z,1.00,9.69,16.63,41.62,31.94,9.75
2026-05-03T09:00:00Z,1.00,6.26,20.00,39.84,29.82,7.00
2026-05-03T10:00:00Z,1.00,9.31,23.49,39.83,27.17,10.65
2026-05-03T11:00:00Z,1.00,7.00,19.65,43.40,26.40,7.08
2026-05-03T12:00:00Z,1.00,5.69,22.08,49.33,24.54,7.29
2026-05-03T13:00:00Z,1.00,11.34,27.02,38.05,17.41,4.78
2026-05-03T14:00:00Z,1.00,15.17,32.53,47.79,11.80,2.48
2026-05-03T15:00:00Z,1.00,6.18,42.66,41.77,9.08,2.72
2026-05-03T16:00:00Z,1.00,6.61,50.30,34.08,6.11,2.56
2026-05-03T17:00:00Z,1.00,9.24,38.33,45.94,4.00,1.57
2026-05-03T18:00:00Z,1.00,1.29,32.93,62.14,7.07,3.75
2026-05-03T19:00:00Z,1.00,1.00,66.75,30.93,2.43,1.41
2026-05-03T20:00:00Z,1.00,1.00,64.20,38.95,1.37,1.00
2026-05-03T21:00:00Z,1.00,1.00,93.81,4.39,1.00,1.00
2026-05-03T22:00:00Z,1.00,1.00,99.00,1.00,1.00,1.00
2026-05-03T23:00:00Z,1.00,1.00,99.00,1.00,1.00,1.00
2026-05-04T00:00:00Z,1.00,1.00,99.00,1.00,1.00,1.00
2026-05-04T01:00:00Z,1.00,1.00,99.00,1.00,1.00,1.00
2026-05-04T02:00:00Z,1.00,1.00,99.00,1.00,1.00,1.00
2026-05-04T03:00:00Z,1.00,1.00,99.00,1.00,1.00,1.00
2026-05-04T04:00:00Z,1.00,1.00,99.00,1.00,1.00,1.00
2026-05-04T05:00:00Z,1.00,1.00,99.00,1.00,1.00,1.00
